Fiscal Quarter,Week Start,Month,Team,Sales Manager,Rep ID,Rep Name,Vendor,Product Codes,Units,Revenue
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 2,123638,AR,V 4,5WS1G38113 ,2,$209 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 2,123638,AR,V 2,5MS1Q52207 ,1,$215 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 2,123521,AR,V 4,7S0XCTO5WW ,1,$126 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 2,123521,AR,V 2,7S05CTOBWW ,1,"$3,648 "
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 2,123521,AR,V 2,7S05CTODWW ,1,"$1,734 "
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 2,123521,AR,V 2,7S05CTOEWW ,1,"$3,636 "
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 2,123533,AR,V 4,5WS1C40285 ,26,"$1,482 "
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 2,123533,AR,V 2,5MS1Q52208 ,12,"$1,620 "
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 2,123490,AR,V 2,5MS1Q52207 ,2,$450 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 2,123490,AR,V 2,5MS1Q52208 ,5,$666 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 2,123490,AR,V 2,7S05CTOBWW ,1,$854 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 2,123490,AR,V 2,7S05CTODWW ,1,$375 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 2,123618,BD,V 3,4L41R48670 ,1,$152 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 2,123618,BD,V 5,4L41R70959 ,1,$112 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 2,123618,BD,V 4,5WS1C40283 ,1,$66 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 2,123618,BD,V 2,5MS1Q52207 ,3,$629 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 2,123592,BD,V 4,5WS1C40283 ,2,$125 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 3,123656,A,V 2,5MS1H14180 ,1,$80 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 3,123656,A,V 2,5MS1Q52208 ,1,$135 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 3,123656,A,V 6,4L41P74645 ,1,$128 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 3,123569,AR,V 2,SAASPCMS01 ,59,"$1,137 "
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 3,123523,AT,V 3,4L41R48670 ,1,$160 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 3,123523,AT,V 4,5WS1C40283 ,2,$110 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 3,123523,AT,V 2,5MS1Q52207 ,1,$225 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 3,123649,AT,V 3,4L41R48670 ,1,$160 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 3,123499,AT,V 4,5WS0X58669 ,1,$60 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 3,123499,AT,V 4,7S0XCTO5WW ,1,$105 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 3,123587,BD,V 3,4L41R48670 ,2,$320 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 3,123587,BD,V 4,5WS0X58669 ,1,$66 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 3,123587,BD,V 2,5MS1Q52207 ,1,$225 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 3,123587,BD,V 2,5MS1Q52208 ,1,$135 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 3,123570,BD,V 2,5MS1Q52207 ,2,$448 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 4,123493,B,V 2,SAASPCMS01 ,176,"$1,049 "
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 4,123637,AR,V 2,SAASPCMS01 ,3724,"$10,975 "
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 4,123598,AR,V 2,5MS1Q52207 ,1,$225 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 4,123532,AR,V 2,SAASPCMS01 ,36,$207 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 4,123582,AR,V 7,4L41F12353 ,1,$80 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 4,123456,AR,V 3,4L41R48670 ,1,$160 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 4,123596,AR,V 2,SAASPCMS01 ,7,$85 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 5,123568,#N/A,V 4,7S0XCTO5WW ,1,$111 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 5,123568,#N/A,V 2,5MS1Q52207 ,1,$225 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 5,123568,#N/A,V 2,7S05CTOBWW ,1,$301 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 5,123495,A,V 2,5MS1Q52207 ,3,$675 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 5,123495,A,V 2,SAASPCMS01 ,1,$128 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 5,123557,B,V 2,7S1SCTO5WW ,1,$510 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 5,123557,B,V 2,SAASPCMS01 ,33,"$1,300 "
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 5,123461,AE,V 3,4L41R48670 ,20,"$2,322 "
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 5,123487,AR,V 4,7S0XCTO5WW ,1,$105 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 5,123524,AR,V 2,5MS1Q52207 ,3,$655 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 5,123524,AR,V 2,5MS1Q52208 ,2,$270 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 5,123566,AR,V 2,SAASPCMS01 ,1,$128 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 5,123566,AR,V 8,4L41N60418 ,3,$170 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 5,123608,AR,V 4,7S0XCTO5WW ,2,$275 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 5,123608,AR,V 2,7S05CTOBWW ,1,$796 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 5,123608,AR,V 2,7S05CTODWW ,2,$532 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 5,123608,AR,V 2,7S05CTOEWW ,1,$800 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 5,123608,AR,V 2,7S05CTONWW ,1,$983 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 5,123608,AR,V 2,SAASPCMS01 ,15,$629 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 5,123501,AR,V 4,7S0XCTO5WW ,3,$315 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 5,123501,AR,V 2,SAASPCMS01 ,321,"$7,752 "
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 6,123631,A,V 4,7S0XCTO5WW ,1,$99 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 6,123631,A,V 9,4L41M35900 ,1,$86 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 6,123631,A,V 2,5MS1H14179 ,1,$105 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 6,123631,A,V 2,7S1SCTO5WW ,1,$923 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 6,123477,A,V 2,SAASPCMS01 ,2,$270 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 6,123541,A,V 7,4L41F30091 ,1,$104 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 6,123541,A,V 1,SAASPCCB01 ,110,$550 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 6,123541,A,V 2,5MS1Q52207 ,2,$413 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 6,123541,A,V 2,SAASPCMS01 ,7211,"$39,556 "
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 6,123492,B,V 3,4L41R48670 ,3,$452 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 6,123492,B,V 2,5MS1Q52207 ,3,$635 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 6,123492,B,V 2,SAASPCMS01 ,9,$152 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 6,123494,AR,V 2,SAASPCMS01 ,10,$301 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 6,123645,AR,V 3,4L41R48670 ,1,$160 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 6,123645,AR,V 2,5MS1H14180 ,1,$79 
FY26'Q1,04-01-2025 00:00,25-Apr,SMB,SM 6,123645,AR,V 2,SAASPCMS01 ,5,$31 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 1,123651,A,V 3,4L41R48670 ,4,$386 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 1,123651,A,V 2,SAASPCMS01 ,137,"$2,653 "
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 1,123650,A,V 2,SAASPCMS01 ,14,$192 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 1,123571,A,V 2,SAASPCMS01 ,297,"$2,594 "
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 1,123555,B,V 7,4L41F30091 ,2,$208 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 1,123555,B,V 4,5641PX5 ,1,$235 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 1,123555,B,V 4,5WS1C40283 ,2,$61 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 1,123555,B,V 4,7S0XCTO5WW ,1,$155 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 1,123555,B,V 2,5MS1H14180 ,1,$82 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 1,123555,B,V 2,5MS1Q52207 ,1,$225 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 1,123555,B,V 2,7S05CTOBWW ,1,$899 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 1,123555,B,V 2,7S05CTODWW ,1,$206 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 1,123555,B,V 2,7S05CTOLWW ,1,"$1,171 "
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 1,123555,B,V 2,7S05CTONWW ,1,"$1,109 "
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 1,123549,AR,V 4,4L47A09132 ,1,$29 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 1,123549,AR,V 4,5WS1C40285 ,3,$171 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 1,123549,AR,V 2,7S05CTOBWW ,1,$740 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 1,123549,AR,V 2,7S05CTODWW ,2,"$1,488 "
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 1,123546,AR,V 4,7S0XCTO5WW ,1,$118 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 1,123546,AR,V 2,7S05CTOBWW ,1,"$3,391 "
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 1,123546,AR,V 2,SAASPCMS01 ,322,"$3,657 "
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 1,123546,AR,V 6,4L41P74645 ,2,$256 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 1,123562,AR,V 1,SAASPCCB01 ,1,$6 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 1,123562,AR,V 2,5MS1Q52207 ,1,$225 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 1,123496,AT,V 4,5WS0X58669 ,1,$60 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 1,123621,AT,V 2,5MS1Q52208 ,1,$131 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 1,123621,AT,V 2,SAASPCMS01 ,1,$128 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 2,123638,AR,V 7,4L41F30091 ,1,$104 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 2,123638,AR,V 4,7S0XCTO5WW ,1,$105 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 2,123638,AR,V 2,5MS1Q52207 ,1,$218 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 2,123638,AR,V 2,SAASPCMS01 ,8,$176 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 2,123521,AR,V 3,4L41R48670 ,8,"$1,280 "
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 2,123533,AR,V 3,4L41R48670 ,1,$160 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 2,123533,AR,V 4,5WS1C40285 ,2,$114 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 2,123533,AR,V 2,5MS1Q52207 ,2,$450 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 2,123490,AR,V 2,5MS1H14180 ,1,$90 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 2,123490,AR,V 2,5MS1Q52208 ,1,$117 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 2,123490,AR,V 2,SAASPCMS01 ,2980,"$35,838 "
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 2,123564,AS,V 3,4L41R48670 ,1,$154 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 2,123564,AS,V 2,5MS1Q52207 ,1,$217 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 2,123618,BD,V 3,4L41R48670 ,1,$153 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 2,123618,BD,V 2,SAASPCMS01 ,1,$12 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 2,123592,BD,V 7,4L41F30091 ,2,$208 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 3,123656,A,V 2,5MS1Q52207 ,1,$225 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 3,123656,A,V 2,SAASPCMS01 ,79,$933 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 3,123569,AR,V 4,7S0XCTO5WW ,1,$147 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 3,123569,AR,V 2,7S05CTOBWW ,1,$854 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 3,123554,AR,V 2,5MS1Q52208 ,1,$131 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 3,123523,AT,V 4,5WS1C40283 ,3,$194 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 3,123457,AU,V 3,4L41R48670 ,1,$160 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 3,123457,AU,V 7,4L41F12353 ,1,$80 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 3,123457,AU,V 4,7S0XCTO5WW ,2,$210 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 3,123457,AU,V 9,4L41M35900 ,1,$95 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 3,123457,AU,V 2,7S05CTOBWW ,2,"$1,220 "
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 3,123457,AU,V 2,7S05CTOEWW ,2,"$1,225 "
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 3,123457,AU,V 2,SAASPCMS01 ,-1,($133)
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 3,123587,BD,V 4,5WS1C40283 ,1,$63 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 3,123587,BD,V 2,5MS1H14180 ,1,$86 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 3,123587,BD,V 2,5MS1Q52208 ,1,$135 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 3,123587,BD,V 2,SAASPCMS01 ,1,$12 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 3,123570,BD,V 7,4L41F12353 ,1,$77 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 3,123570,BD,V 7,4L41F30091 ,4,$416 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 3,123570,BD,V 2,7S1SCTO5WW ,1,"$1,787 "
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 4,123637,AR,V 3,4L41R48670 ,1,$160 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 4,123637,AR,V 2,5MS1Q52207 ,1,$225 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 4,123637,AR,V 2,SAASPCMS01 ,15573,"$7,196 "
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 4,123598,AR,V 2,7S1SCTO5WW ,1,$647 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 4,123532,AR,V 7,4L41L13366 ,1,$153 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 4,123532,AR,V 7,4L41L17644 ,5,$798 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 4,123532,AR,V 4,5WS1C40285 ,10,$570 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 4,123532,AR,V 2,SAASPCMS01 ,444,"$3,031 "
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 4,123532,AR,V 8,4L41N60418 ,1,$116 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 4,123456,AR,V 2,SAASPCMS01 ,380,"$5,816 "
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 4,123596,AR,V 4,5WS1G38111 ,5,$427 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 4,123596,AR,V 8,4L41N60416 ,12,$979 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 5,123568,#N/A,V 7,4L41F30091 ,3,$312 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 5,123568,#N/A,V 4,7S0XCTO5WW ,1,$105 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 5,123568,#N/A,V 2,7S05CTOBWW ,1,$610 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 5,123568,#N/A,V 2,7S05CTODWW ,3,"$2,265 "
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 5,123568,#N/A,V 2,7S05CTOEWW ,1,$613 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 5,123568,#N/A,V 2,SAASPCMS01 ,15,$136 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 5,123495,A,V 3,4L41R48670 ,23,"$3,680 "
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 5,123495,A,V 7,4L41F12353 ,1,$80 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 5,123495,A,V 4,7S0XCTO5WW ,2,$252 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 5,123495,A,V 2,5MS1Q52207 ,12,"$2,632 "
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 5,123495,A,V 2,7S05CTOBWW ,2,"$1,464 "
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 5,123495,A,V 2,7S05CTODWW ,4,"$3,713 "
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 5,123584,A,V 3,4L41R48670 ,1,$159 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 5,123584,A,V 4,5WS1C40283 ,2,$133 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 5,123584,A,V 4,7S0XCTO5WW ,1,$123 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 5,123584,A,V 2,7S1SCTO5WW ,1,$439 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 5,123584,A,V 2,SAASPCMS01 ,13,$136 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 5,123557,B,V 4,7S0XCTO5WW ,2,$262 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 5,123557,B,V 2,7S1SCTO5WW ,1,"$1,143 "
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 5,123557,B,V 2,7S1SCTOAWW ,1,"$1,880 "
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 5,123557,B,V 2,SAASPCMS01 ,2,$6 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 5,123461,AE,V 4,5WS1C40285 ,4,$228 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 5,123461,AE,V 4,7S0XCTO5WW ,2,$206 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 5,123461,AE,V 2,7S05CTOBWW ,2,"$1,199 "
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 5,123461,AE,V 2,7S05CTODWW ,2,$275 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 5,123487,AR,V 4,5641PX5 ,1,$217 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 5,123487,AR,V 4,7S0XCTO5WW ,1,$143 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 5,123524,AR,V 4,7S0XCTO5WW ,6,$668 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 5,123524,AR,V 2,7S1SCTO5WW ,6,"$6,374 "
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 5,123524,AR,V 2,7S1SCTOAWW ,5,"$2,063 "
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 5,123566,AR,V 4,7S0XCTO5WW ,3,$305 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 5,123566,AR,V 2,5MS1Q52207 ,5,"$1,125 "
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 5,123566,AR,V 2,7S1SCTO5WW ,1,$982 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 5,123566,AR,V 2,7S1SCTOAWW ,1,$207 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 5,123566,AR,V 2,SAASPCMS01 ,1,$13 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 5,123608,AR,V 3,4L41R48670 ,2,$320 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 5,123608,AR,V 4,7S0XCTO5WW ,4,$455 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 5,123608,AR,V 2,5MS1Q52207 ,1,$225 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 5,123608,AR,V 2,5MS1Q52208 ,1,$135 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 5,123608,AR,V 2,7S05CTOBWW ,3,"$2,034 "
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 5,123608,AR,V 2,7S05CTODWW ,4,"$1,276 "
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 5,123608,AR,V 2,7S05CTOEWW ,1,$227 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 5,123608,AR,V 2,7S05CTOLWW ,1,$160 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 5,123608,AR,V 2,7S05CTONWW ,1,$753 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 5,123608,AR,V 2,7S1SCTO5WW ,1,$993 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 5,123608,AR,V 2,7S1SCTOAWW ,1,$413 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 5,123501,AR,V 4,7S0XCTO5WW ,2,$210 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 5,123501,AR,V 2,7S05CTOBWW ,2,"$1,220 "
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 5,123501,AR,V 2,7S05CTODWW ,1,$284 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 5,123501,AR,V 2,SAASPCMS01 ,61,"$1,065 "
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 6,123477,A,V 4,7S0XCTO5WW ,1,$164 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 6,123477,A,V 4,7S0XCTO6WW ,1,$640 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 6,123541,A,V 2,SAASPCMS01 ,459,"$6,784 "
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 6,123492,B,V 3,4L41R48670 ,1,$159 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 6,123492,B,V 4,5641PX5 ,1,$152 
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 6,123492,B,V 2,5MS1Q52207 ,8,"$1,798 "
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 6,123540,AR,V 2,SAASPCMS01 ,299,"$6,046 "
FY26'Q1,04-07-2025 00:00,25-Apr,SMB,SM 6,123494,AR,V 3,4L41R48670 ,10,"$1,600 "
